,R,DEE,Remb,r,g,b,x,y,z
14989,26.4799,18.76,0.3386,0.647929442,0.660487561,0.526062963,0.339573406,0.379109405,0.281317189
14990,15.8831,23.2307,0.7327,0.617669129,0.62281215,0.589763399,0.319058303,0.341671138,0.339270559
14991,37.0221,6.8023,0.8294,0.540594843,0.632396605,0.618906011,0.294018615,0.334334828,0.371646557
14992,5.0,6.4576,0.3769,0.601648167,0.613724123,0.607927506,0.31105991,0.331254434,0.357685655
14993,10.8757,18.218,0.726,0.635838409,0.598522708,0.604179648,0.320956561,0.326908656,0.352134783
14994,8.0812,50.3242,0.3899,0.60184541,0.609010127,0.612505929,0.31012518,0.327666913,0.362207908
14995,5.0,15.0789,1.0,0.609350241,0.609136591,0.608401274,0.312951411,0.329306253,0.357742336
14996,5.0,38.2233,0.3204,0.609523389,0.609593076,0.60785476,0.313113693,0.329691948,0.357194359
14997,5.0,16.7795,0.9013,0.609390521,0.608751687,0.608761335,0.312884695,0.329019896,0.358095409
14998,22.3154,24.3696,0.8625,0.608015142,0.610383522,0.607877613,0.312715812,0.329986408,0.35729778
14999,47.9693,27.4372,0.8876,0.651780756,0.628298618,0.563043991,0.333783019,0.353467749,0.312749232
15000,13.7351,24.1674,1.0,0.624356652,0.615431705,0.593701641,0.320031168,0.337318253,0.342650578
15001,43.9506,13.4626,0.9284,0.497322198,0.649170413,0.620043115,0.284569143,0.340742454,0.374688403
15002,27.8669,18.1356,0.3671,0.736849786,0.601003546,0.532559642,0.365772165,0.353180634,0.281047201
15003,18.503,36.472,1.0,0.630294355,0.61520591,0.590510556,0.322299932,0.338419997,0.339280071
15004,22.964,28.5485,1.0,0.610447685,0.610005243,0.60694639,0.313549486,0.330199834,0.35625068
15005,17.2936,5.0,1.0,0.560557047,0.615083767,0.626957636,0.296813639,0.324296288,0.378890074
15006,51.0737,12.0786,0.8574,0.516109358,0.633984099,0.627920567,0.286699501,0.331384284,0.381916215
15007,37.7441,5.0,0.7455,0.658237576,0.562883472,0.624212515,0.322921773,0.306243765,0.370834462
15008,54.7119,53.0334,0.3,0.659620394,0.589590771,0.598875002,0.328789299,0.325613638,0.345597063
15009,49.9246,5.0,0.6173,0.606139269,0.585576038,0.63231635,0.306859243,0.311042839,0.382097918
15010,28.0771,5.0,0.9668,0.525695479,0.620988579,0.636661924,0.286777676,0.322668911,0.390553413
15011,57.9004,66.078,0.7549,0.662470897,0.584463106,0.602082125,0.328939057,0.32252372,0.348537223
15012,24.9613,5.0,0.7591,0.544159687,0.62581332,0.62392824,0.293713611,0.32971519,0.376571199
15013,66.435,5.0,0.3838,0.59494319,0.615855446,0.60930235,0.309056438,0.331549621,0.35939394
15014,48.3028,5.0,0.417,0.599268819,0.614212972,0.608690996,0.310287131,0.331148978,0.358563891
15015,8.8806,5.0,0.7641,0.616524334,0.603799708,0.609785419,0.314539955,0.326738873,0.358721172
15016,34.8722,26.2731,0.8326,0.550761661,0.571334173,0.669923716,0.284542272,0.290098592,0.425359136
15017,9.3559,31.0213,0.8477,0.618127881,0.607816107,0.604941571,0.316001569,0.330131517,0.353866914
15018,7.058,44.204,0.8976,0.609473242,0.608776556,0.608692308,0.312921088,0.32905607,0.358022843
15019,6.4752,15.0039,0.9489,0.61281416,0.606803411,0.608844509,0.313763301,0.328243756,0.357992943
15020,7.0737,40.8571,0.893,0.609444911,0.608708262,0.608775181,0.312895915,0.328997932,0.358106153
15021,6.6669,47.1911,0.9443,0.6097287,0.608674632,0.608656182,0.312995516,0.329031018,0.357973465
15022,6.7858,41.3596,0.9119,0.610020953,0.608639593,0.608533907,0.313098069,0.32906482,0.357837111
15023,6.5088,42.8219,1.0,0.609949525,0.609368644,0.607848693,0.313226253,0.329608271,0.357165476
15024,15.1405,43.3493,0.6796,0.639924512,0.603774311,0.596601204,0.323684575,0.331761455,0.34455397
15025,5.0,55.5996,0.5525,0.610198412,0.609423307,0.607660348,0.313331607,0.329701803,0.35696659
15026,10.7193,61.4157,1.0,0.61125761,0.607651917,0.608846166,0.313354575,0.32856677,0.358078655
15027,5.0,35.5637,0.9952,0.609796346,0.609512599,0.607787988,0.313199247,0.329686837,0.357113917
15028,17.0518,53.0307,0.7232,0.631779014,0.622714347,0.581656631,0.324514528,0.344612353,0.330873119
15029,24.4587,63.2668,0.823,0.638129853,0.636581456,0.562223202,0.330110937,0.357083429,0.312805635
